Year,High,Low,Close,PE Ratios,PB Ratios,Dividend Yield
20-Jun,33866.63,32876.55,33825.53,21.41,2.54,1.13
20-May,32845.48,29968.45,32424.1,19.46,2.36,1.21
20-Apr,33887.25,27500.79,33717.62,18.78,2.39,1.34
20-Mar,39083.17,25638.9,29468.49,19.55,2.49,1.39
20-Feb,41709.3,38219.97,38297.29,24.64,3.16,1.05
20-Jan,42273.87,40476.55,40723.49,25.67,3.21,1.03
19-Dec,41809.96,40135.37,41253.74,27.95,3.04,1.1
19-Nov,41163.79,40014.23,40793.81,27.82,2.94,1.14
19-Oct,40392.22,37415.83,40129.05,26.87,2.88,1.19
19-Sep,39441.12,35987.8,38667.33,26.36,2.83,1.23
19-Aug,37807.55,36102.35,37332.79,25.95,2.8,1.25
19-Jul,40032.41,37128.26,37481.12,27.81,2.95,1.21
19-Jun,40312.07,38870.96,39394.64,28.27,3.02,1.2
19-May,40124.96,36956.1,39714.2,28.37,2.97,1.21
19-Apr,39487.45,38460.25,39031.55,28.14,3.14,1.14
19-Mar,38748.54,35926.94,38672.91,27.58,3.12,1.15
19-Feb,37172.18,35287.16,35867.44,23.82,3.02,1.18
19-Jan,36701.03,35375.51,36256.69,23.59,3.02,1.17
18-Dec,36554.99,34426.29,36068.33,23.5,2.99,1.2
18-Nov,36389.22,34303.38,36194.3,23.01,2.96,1.24
18-Oct,36616.64,33291.58,34442.05,22.15,2.87,1.3
18-Sep,38934.35,35985.63,36227.14,24.05,3.1,1.19
18-Aug,38989.65,37128.99,38645.07,24.49,3.16,1.16
18-Jul,37644.59,35106.57,37606.58,23.05,3.02,1.21
18-Jun,35877.41,34784.68,35423.48,22.91,2.95,1.2
18-May,35993.53,34302.89,35322.38,23.41,3.07,1.16
18-Apr,35213.3,32972.56,35160.36,23.43,3.11,1.15
